24-12-2025|102|8|100.00
24-12-2025|201|12|60.00
24-12-2025|205|20|90.00
24-12-2025|301|5|60.00
24-12-2025|401|15|48.00
24-12-2025|104|6|109.80
24-12-2025|107|3|104.70
24-12-2025|202|10|87.50
17-12-2025|102|5|62.50
17-12-2025|201|10|50.00
17-12-2025|205|15|67.50
16-12-2025|202|8|70.00
16-12-2025|203|5|32.50
16-12-2025|104|3|54.90
15-12-2025|206|2|31.20
15-12-2025|302|4|90.00
15-12-2025|201|20|100.00
14-12-2025|107|5|174.50
14-12-2025|108|3|85.50
14-12-2025|205|25|112.50
13-12-2025|401|30|96.00
13-12-2025|402|10|175.00
13-12-2025|604|15|63.00
12-12-2025|201|12|60.00
12-12-2025|205|18|81.00
12-12-2025|303|7|54.60
11-12-2025|102|6|75.00
11-12-2025|104|5|91.50
11-12-2025|301|3|36.00
10-12-2025|106|4|105.60
10-12-2025|207|1|42.30
10-12-2025|308|6|87.60
09-12-2025|201|15|75.00
09-12-2025|205|20|90.00
09-12-2025|404|8|51.20
08-12-2025|105|5|73.75
08-12-2025|304|7|78.75
08-12-2025|408|4|80.40
07-12-2025|109|3|95.40
07-12-2025|204|6|55.20
07-12-2025|305|5|98.75
06-12-2025|110|10|89.00
06-12-2025|401|25|80.00
06-12-2025|604|12|50.40
05-12-2025|201|8|40.00
05-12-2025|202|5|43.75
05-12-2025|303|9|70.20
04-12-2025|107|4|139.60
04-12-2025|108|6|171.00
04-12-2025|302|5|112.50
03-12-2025|205|22|99.00
03-12-2025|404|10|64.00
03-12-2025|501|4|67.20
02-12-2025|201|14|70.00
02-12-2025|205|16|72.00
02-12-2025|401|20|64.00
01-12-2025|102|7|87.50
01-12-2025|104|4|73.20
01-12-2025|106|3|79.20
