24-12-2025|6680.75
17-12-2025|4890.25
16-12-2025|4250.50
15-12-2025|3890.75
14-12-2025|5120.00
13-12-2025|4560.25
12-12-2025|3780.50
11-12-2025|4920.00
10-12-2025|5340.75
09-12-2025|4680.25
08-12-2025|3950.00
07-12-2025|4210.50
06-12-2025|5580.00
05-12-2025|4890.25
04-12-2025|4320.75
03-12-2025|5670.00
02-12-2025|4140.50
01-12-2025|4890.25
30-11-2025|5230.00
29-11-2025|4560.75
28-11-2025|4980.50
27-11-2025|5340.00
26-11-2025|4720.25
25-11-2025|5890.50
24-11-2025|4350.00
23-11-2025|3980.75
22-11-2025|4640.50
21-11-2025|5120.00
20-11-2025|4780.25
19-11-2025|5450.75
18-11-2025|4920.00
17-11-2025|4230.50
16-11-2025|5680.25
15-11-2025|4890.00
14-11-2025|5340.75
13-11-2025|4670.50
12-11-2025|5020.00
11-11-2025|4560.25
10-11-2025|5890.50
09-11-2025|4320.75
08-11-2025|4980.00
07-11-2025|5230.25
06-11-2025|4760.50
05-11-2025|5450.00
04-11-2025|4890.75
03-11-2025|5120.25
02-11-2025|4340.00
01-11-2025|4780.50
